ssps,ownerName,ownerScreenId,venueTypes,locationType,country,state,dma,city,zip,adTypes,resolutions,durations,screenName,facing,link,address,avgDwellTime,avgImpressionMultiplier,avgWeeklyImpressions,avgCpm,restrictions,lat,lng,count
Place Exchange,Clear Channel Outdoor Brazil,RIO19,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22407,"Image, Silent Video",400x600,10,,,,"Rua Visconde De Piraja, Em Frente Ao N. 381",,1.0,624074,5.0,"Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics, Cigars",-22.984232,-43.206699,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO24,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22407,"Image, Silent Video",400x600,10,,,,Rua Visconde De Piraja Em Frente Ao Nr 288,,1.0,239442,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.984,-43.2081,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO3,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,20060,"Image, Silent Video",400x600,10,,,,"Avenida Passos, Lado Oposto À Praça Tiradentes",,1.0,459042,5.0,"Politics, Illegal Content, Law, Government, & Politics, Cigars, Pornography, Sexuality",-22.906449,-43.182135,N/A
Place Exchange,Clear Channel Outdoor Brazil,RDJ18,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,20269,"Image, Silent Video",400x600,10,,,,"Rua Conde De Bomfim, Nº 491",,21.8253968253968,220000,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9103,-43.1736,N/A
Place Exchange,Clear Channel Outdoor Brazil,RDJ02,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,20269,"Image, Silent Video",400x600,10,,,,"Rua Do Catete, Nº 77, Oposto Ao Nº 44",,21.8253968253968,220000,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9034,-43.1781,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO78,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22617,"Image, Silent Video",400x600,10,,,,Avenida Niemeyer Esquina Com Avenida Prefeito Mendes De Morais Em Frente Ao Hotel Nacional,,1.0,484771,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9985,-43.256,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO28,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22210,"Image, Silent Video",400x600,10,,,,Praia Do Flamengo 320,,1.0,502990,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.935631,-43.17425,N/A
Place Exchange,Clear Channel Outdoor Brazil,RDJ16,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,20269,"Image, Silent Video",400x600,10,,,,"Avenida Ataúlfo De Paiva, 527",,21.8253968253968,220000,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9227,-43.2352,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO6,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,20269,"Image, Silent Video",400x600,10,,,,"Avenida Presidente Antonio Carlos, Em Frente Ao Forum",,1.0,663624,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.905598,-43.173353,N/A
Place Exchange,Clear Channel Outdoor Brazil,RDJ07,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22461,"Image, Silent Video",400x600,10,,,,"Avenida N. Sra Copacabana, 978, 30m Após Rua Xavier Da Silveira",,21.8253968253968,220000,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9606,-43.2077,N/A
